"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
41,"Yes","Travel_Rarely",1332,"Sales",1,2,"Life Sciences",1,1,2,"Female",94,3,2,"Sales Executive",4,NA,6846.3899559872,19479,8,"Y","Yes",11,3,1,80,0,8,0,4,6,6,0,5
49,"No","Travel_Frequently",279,"Research & Development",8,1,"Life Sciences",NA,2,3,"Male",61,2,2,"Research Scientist",2,"Married",39029.117074644,24907,NA,"Y","No",23,4,4,80,1,10,3,3,68,7,1,7
37,"Yes","Travel_Rarely",1373,"Research & Development",2,2,"Other",1,1859,4,"Male",98,2,1,"Laboratory Technician",4,"Single",1845.89436593562,2396,6,"Y","Yes",15,3,4,80,NA,7,3,3,0,0,0,0
33,"No","Travel_Frequently",1392,"Research & Development",3,4,"Life Sciences",1,NA,4,"Female",56,3,1,"Research Scientist",3,"Married",3325.13068063453,23159,1,"Y","Yes",11,3,3,80,0,8,3,3,8,7,7,0
27,"No","Travel_Rarely",591,NA,NA,1,"Medical",1,273,4,"Male",40,3,1,"Laboratory Technician",2,"Married",1609.2860737439,16632,9,"Y","No",12,3,4,80,1,6,3,3,NA,2,2,NA
32,"No","Travel_Frequently",573,NA,2,2,"Life Sciences",1,NA,4,"Male",NA,3,1,"Laboratory Technician",4,"Single",10548.311186894,11864,NA,"Y","No",13,3,3,80,0,8,2,2,NA,7,3,6
59,"No","Travel_Rarely",1324,"Research & Development",3,3,"Medical",1,10,NA,"Female",81,4,1,"Laboratory Technician",2,"Married",2348.80972144433,9964,4,"Y","Yes",20,4,1,80,3,12,3,2,1,0,0,0
30,"No",NA,1358,"Research & Development",24,1,"Life Sciences",1,11,4,"Male",67,3,1,"Laboratory Technician",3,NA,111377,13335,1,"Y","No",22,3,2,80,1,1,2,3,NA,0,0,0
38,"No","Travel_Frequently",216,"Research & Development",23,3,"Life Sciences",1,12,4,"Male",NA,2,3,"Manufacturing Director",3,"Single",1187.31329389783,8787,0,"Y","No",21,4,2,80,1,10,2,3,9,6,1,8
36,"No","Travel_Rarely",1299,"Research & Development",27,3,"Medical",1,13,3,"Male",94,3,2,"Healthcare Representative",3,"Married",12194.3520659024,16577,6,"Y",NA,13,NA,2,80,2,17,5,2,7,7,7,7
35,"No","Travel_Rarely",809,"Research & Development",26,3,NA,1,14,1,"Male",84,4,1,"Laboratory Technician",2,"Married",305,16479,0,"Y","No",13,3,3,80,1,6,5,3,NA,4,0,3
29,"No","Travel_Rarely",153,"Research & Development",15,NA,"Life Sciences",1,15,4,"Female",49,2,2,"Laboratory Technician",3,"Single",34.1051612295754,12682,1,"Y","Yes",12,4,4,66,0,10,5,3,0,5,13,8
31,"No","Travel_Rarely",NA,"Research & Development",26,1,"Life Sciences",1,16,1,"Male",31,3,1,"Research Scientist",3,"Divorced",46236,15170,1,"Y","No",17,3,4,80,1,5,1,2,5,2,4,3
34,"No",NA,1346,"Research & Development",19,3,"Medical",1,18,2,"Male",93,3,NA,"Laboratory Technician",4,"Divorced",859.517105535896,8758,7,"Y","No",11,3,1,80,1,3,2,3,2,2,1,2
28,"Yes","Travel_Rarely",677,"Research & Development",24,3,"Life Sciences",1,19,3,"Male",50,2,1,"Laboratory Technician",3,"Single",4238.65500651856,12947,1,"Y","Yes",22,3,2,NA,0,6,3,3,4,2,11,3
20,"No","Travel_Rarely",583,"Research & Development",21,4,"Life Sciences",1,20,2,"Female",66,4,3,"Manufacturing Director",1,"Divorced",9708.95047284094,10195,1,"Y","No",11,3,3,80,1,10,1,3,10,9,8,8
32,NA,"Travel_Rarely",334,"Research & Development",5,2,"Life Sciences",68,21,NA,"Male",80,NA,1,"Research Scientist",2,"Divorced",860.86804176513,15053,0,"Y","Yes",12,3,4,80,2,NA,5,2,6,18,0,5
22,"No","Non-Travel",1123,"Research & Development",16,2,"Medical",1,22,4,"Male",96,4,1,"Laboratory Technician",4,"Divorced",1306.6360129347,7324,1,"Y",NA,13,3,2,80,2,1,2,2,1,0,0,0
